Age,Edu,JobExp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,QW1,QW2,QW3,QW4,QW5
35 – 39,Bachelor’s Degree,3 – 5 years (Junior professional stage),Rarely,Some of the time,All of the time,All of the time,Rarely,Rarely,Often,Often,Often,Some of the time,All of the time,All of the time,Rarely,All of the time,More than half of the time,Less than half of the time,Some of the time,Most of the time,Less than half of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Rarely,All of the time,All of the time,Some of the time,Often,Some of the time,All of the time,Often,Often,All of the time,Some of the time,All of the time,Often,More than half of the time,At no time,Some of the time,Some of the time,Some of the time
40 – 44,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",Often,All of the time,Some of the time,All of the time,All of the time,None of the time,Rarely,Some of the time,None of the time,None of the time,Often,Often,Often,Some of the time,Most of the time,All of the time,Most of the time,Most of the time,Some of the time
40 – 44,Diploma/Technical,6 – 10 years (Mid-career professionals),Rarely,All of the time,All of the time,None of the time,None of the time,All of the time,None of the time,Rarely,Some of the time,Some of the time,Often,Often,None of the time,None of the time,Less than half of the time,Less than half of the time,All of the time,All of the time,Most of the time
25 – 29,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),Often,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,Often,All of the time,Some of the time,All of the time,Often,Some of the time,All of the time,Less than half of the time,Some of the time,Less than half of the time,Some of the time,Less than half of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,Some of the time,Rarely,None of the time,All of the time,Often,Rarely,Some of the time,Rarely,All of the time,All of the time,Some of the time,Often,Often,Less than half of the time,Some of the time,All of the time,More than half of the time,At no time
45 – 49,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),All of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,Rarely,Often,Some of the time,Rarely,All of the time,All of the time,All of the time,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
40 – 44,Diploma/Technical,1 – 2 years (Early career),All of the time,All of the time,Rarely,Often,Some of the time,Often,All of the time,All of the time,All of the time,Rarely,All of the time,Often,Often,Often,Less than half of the time,Most of the time,More than half of the time,Less than half of the time,Most of the time
25 – 29,Diploma/Technical,1 – 2 years (Early career),Rarely,None of the time,Rarely,All of the time,Some of the time,All of the time,Often,Some of the time,Rarely,None of the time,All of the time,Some of the time,All of the time,All of the time,Most of the time,Some of the time,Some of the time,All of the time,Less than half of the time
50 – 54,Other,1 – 2 years (Early career),Often,Rarely,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Often,Some of the time,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
30 – 34,Diploma/Technical,3 – 5 years (Junior professional stage),Some of the time,Often,None of the time,Some of the time,Often,Often,All of the time,All of the time,None of the time,All of the time,Some of the time,All of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,More than half of the time,More than half of the time
40 – 44,High School,6 – 10 years (Mid-career professionals),All of the time,Rarely,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Often,All of the time,Often,Rarely,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,All of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,All of the time,Some of the time,Rarely,Often,All of the time,All of the time,All of the time,All of the time,Often,Rarely,All of the time,Some of the time,Some of the time,More than half of the time,Some of the time,Some of the time,Some of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,Some of the time,Often,All of the time,All of the time,Rarely,None of the time,All of the time,All of the time,Often,All of the time,Often,Often,Some of the time,Most of the time,Less than half of the time,Some of the time,Less than half of the time
30 – 34,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Often,Often,Often,None of the time,Some of the time,All of the time,Often,None of the time,Rarely,All of the time,None of the time,None of the time,Often,All of the time,Most of the time,Less than half of the time,Most of the time,Some of the time
25 – 29,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),None of the time,All of the time,Often,All of the time,Some of the time,All of the time,All of the time,Some of the time,Often,All of the time,Often,All of the time,All of the time,Often,Some of the time,Some of the time,More than half of the time,Some of the time,Some of the time
45 – 49,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),Often,None of the time,All of the time,Rarely,All of the time,None of the time,Often,Rarely,Often,All of the time,Some of the time,Often,All of the time,All of the time,Some of the time,More than half of the time,More than half of the time,More than half of the time,Most of the time
30 – 34,Professional Degrees,6 – 10 years (Mid-career professionals),All of the time,All of the time,Often,All of the time,Often,Some of the time,Some of the time,Rarely,All of the time,Often,All of the time,All of the time,All of the time,Often,Less than half of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Often,None of the time,All of the time,Some of the time,All of the time,Often,Rarely,Some of the time,Often,Some of the time,All of the time,None of the time,Often,Most of the time,Some of the time,Less than half of the time,Most of the time,Less than half of the time
25 – 29,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,Some of the time,All of the time,Some of the time,Often,All of the time,Some of the time,Often,All of the time,All of the time,All of the time,All of the time,Often,Often,Most of the time,Most of the time,Some of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Some of the time,All of the time,Often,All of the time,Often,Some of the time,Some of the time,Often,All of the time,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Most of the time,More than half of the time,More than half of the time,Some of the time
45 – 49,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,All of the time,Often,All of the time,Some of the time,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,All of the time,All of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Some of the time,Rarely,Often,Often,All of the time,Rarely,Often,All of the time,Often,Rarely,Rarely,All of the time,All of the time,Some of the time,More than half of the time,Some of the time,Some of the time,Some of the time,Some of the time
35 – 39,Diploma/Technical,1 – 2 years (Early career),Some of the time,All of the time,Some of the time,All of the time,Some of the time,All of the time,All of the time,Often,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,Less than half of the time,Some of the time,Some of the time,Some of the time,Some of the time
60+,Professional Degrees,3 – 5 years (Junior professional stage),Often,Often,Some of the time,Some of the time,Often,Often,All of the time,Often,All of the time,Rarely,Often,Some of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time
25 – 29,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Often,All of the time,All of the time,Often,Rarely,Often,Some of the time,All of the time,All of the time,None of the time,None of the time,Some of the time,All of the time,Often,Less than half of the time,Some of the time,Some of the time,More than half of the time,Some of the time
40 – 44,Diploma/Technical,1 – 2 years (Early career),Some of the time,All of the time,None of the time,Some of the time,Rarely,All of the time,Often,Some of the time,All of the time,Rarely,All of the time,Often,All of the time,Often,Most of the time,Most of the time,Some of the time,Less than half of the time,Some of the time
20 – 24,Postgraduate Degree,16 – 20 years (Senior managers/leaders),Often,Rarely,Rarely,All of the time,All of the time,Often,Rarely,All of the time,Rarely,All of the time,All of the time,Some of the time,All of the time,Often,Some of the time,Some of the time,More than half of the time,More than half of the time,Some of the time
55 – 59,Professional Degrees,1 – 2 years (Early career),All of the time,Often,Often,Often,Some of the time,Some of the time,All of the time,All of the time,All of the time,Often,Rarely,All of the time,All of the time,All of the time,Some of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time
30 – 34,Postgraduate Degree,Less than 1 year (Entry-level/freshers),All of the time,Some of the time,Some of the time,Rarely,Often,Some of the time,Some of the time,Often,All of the time,Some of the time,All of the time,All of the time,Rarely,Some of the time,Some of the time,At no time,More than half of the time,Some of the time,All of the time
25 – 29,Bachelor’s Degree,6 – 10 years (Mid-career professionals),None of the time,All of the time,Often,Often,All of the time,Often,Often,Often,All of the time,Rarely,All of the time,Often,All of the time,All of the time,More than half of the time,More than half of the time,Less than half of the time,Some of the time,Some of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Some of the time,Rarely,Rarely,All of the time,All of the time,Rarely,Often,All of the time,All of the time,Often,Often,Often,Some of the time,More than half of the time,Some of the time,More than half of the time,Most of the time,Some of the time
45 – 49,Postgraduate Degree,16 – 20 years (Senior managers/leaders),Often,Often,Rarely,Often,None of the time,Often,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,None of the time,None of the time,Less than half of the time,Some of the time,Less than half of the time,All of the time,At no time
25 – 29,Professional Degrees,1 – 2 years (Early career),All of the time,Some of the time,None of the time,Some of the time,All of the time,All of the time,Rarely,Rarely,All of the time,Often,Some of the time,All of the time,Often,All of the time,Some of the time,Most of the time,Less than half of the time,At no time,Most of the time
35 – 39,Diploma/Technical,3 – 5 years (Junior professional stage),Often,All of the time,All of the time,Often,None of the time,All of the time,Often,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,All of the time
40 – 44,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,All of the time,Some of the time,None of the time,None of the time,Often,All of the time,None of the time,All of the time,Some of the time,Rarely,None of the time,Rarely,Less than half of the time,More than half of the time,Some of the time,Some of the time,More than half of the time
35 – 39,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,All of the time,All of the time,Rarely,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time,Less than half of the time,Less than half of the time,Some of the time,More than half of the time,More than half of the time
25 – 29,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),Often,All of the time,Often,All of the time,Often,Rarely,All of the time,All of the time,Often,Some of the time,Often,All of the time,All of the time,All of the time,Some of the time,Most of the time,Some of the time,More than half of the time,Less than half of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),Often,Some of the time,Some of the time,Often,Often,Some of the time,Some of the time,Often,Some of the time,Often,All of the time,Often,Often,Often,Most of the time,Less than half of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,3 – 5 years (Junior professional stage),None of the time,All of the time,All of the time,All of the time,Some of the time,Often,Often,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Rarely,More than half of the time,Some of the time,Some of the time,Some of the time,Some of the time
45 – 49,Postgraduate Degree,1 – 2 years (Early career),Often,Some of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,Some of the time,All of the time,Rarely,More than half of the time,Some of the time,Some of the time,Less than half of the time,Some of the time
55 – 59,Professional Degrees,1 – 2 years (Early career),All of the time,Rarely,All of the time,Rarely,Often,Often,None of the time,Often,Some of the time,All of the time,All of the time,Often,Often,None of the time,Some of the time,All of the time,At no time,More than half of the time,Less than half of the time
30 – 34,Professional Degrees,3 – 5 years (Junior professional stage),All of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Rarely,Often,Often,Rarely,All of the time,All of the time,Some of the time,Rarely,More than half of the time,All of the time,Less than half of the time,Some of the time,Less than half of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Some of the time,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Often,Often,All of the time,All of the time,Some of the time,Some of the time,Less than half of the time,Less than half of the time,More than half of the time,Most of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Often,Rarely,Often,Often,All of the time,Some of the time,Often,Often,All of the time,Some of the time,Often,Often,All of the time,Often,Less than half of the time,Less than half of the time,More than half of the time,Some of the time,Most of the time
30 – 34,Postgraduate Degree,21 – 25 years (Top management/executives),Some of the time,Often,None of the time,Some of the time,All of the time,Rarely,Rarely,All of the time,Rarely,Often,Often,Often,All of the time,Some of the time,Some of the time,Less than half of the time,Less than half of the time,More than half of the time,At no time
30 – 34,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Often,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,Rarely,All of the time,Often,More than half of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
50 – 54,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Rarely,Some of the time,Some of the time,None of the time,Rarely,Rarely,None of the time,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,Less than half of the time,More than half of the time,At no time
40 – 44,Professional Degrees,3 – 5 years (Junior professional stage),All of the time,All of the time,Some of the time,All of the time,All of the time,Rarely,All of the time,All of the time,Rarely,Rarely,Often,Rarely,Rarely,Often,Some of the time,Some of the time,Less than half of the time,Less than half of the time,All of the time
60+,Bachelor’s Degree,1 – 2 years (Early career),Often,Often,Often,All of the time,Some of the time,Some of the time,Often,All of the time,Often,All of the time,All of the time,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Less than half of the time,Some of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Often,All of the time,Often,Some of the time,Some of the time,Often,Often,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time
25 – 29,Bachelor’s Degree,6 – 10 years (Mid-career professionals),Rarely,Rarely,All of the time,Rarely,Rarely,Some of the time,Rarely,Often,Some of the time,None of the time,Some of the time,Often,Often,Some of the time,Less than half of the time,All of the time,Some of the time,All of the time,At no time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,Some of the time,Often,Less than half of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
45 – 49,Bachelor’s Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,Often,All of the time,Rarely,Often,All of the time,Some of the time,All of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time,Some of the time
40 – 44,Professional Degrees,3 – 5 years (Junior professional stage),All of the time,All of the time,Some of the time,All of the time,All of the time,Rarely,Often,All of the time,None of the time,All of the time,Often,All of the time,Some of the time,Some of the time,Most of the time,Some of the time,More than half of the time,More than half of the time,Some of the time
20 – 24,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,All of the time,All of the time,Rarely,Rarely,None of the time,Some of the time,Often,All of the time,All of the time,None of the time,All of the time,Some of the time,All of the time,More than half of the time,All of the time,Some of the time,Some of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Often,All of the time,Often,Often,All of the time,Often,All of the time,Some of the time,All of the time,Rarely,Some of the time,All of the time,Some of the time,All of the time,Some of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),Some of the time,All of the time,All of the time,Often,All of the time,All of the time,Some of the time,Often,Some of the time,All of the time,All of the time,Rarely,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
20 – 24,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,All of the time,All of the time,None of the time,Some of the time,All of the time,None of the time,Rarely,All of the time,All of the time,Often,None of the time,None of the time,All of the time,All of the time,Most of the time,All of the time,Some of the time,Some of the time
25 – 29,Bachelor’s Degree,6 – 10 years (Mid-career professionals),All of the time,Some of the time,Often,Some of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,Often,All of the time,Rarely,Often,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
35 – 39,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,Rarely,All of the time,Often,Some of the time,Some of the time,All of the time,All of the time,All of the time,Often,Often,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,More than half of the time,Some of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),Rarely,Often,All of the time,Some of the time,All of the time,Some of the time,All of the time,Some of the time,All of the time,None of the time,All of the time,None of the time,None of the time,All of the time,Some of the time,More than half of the time,Some of the time,More than half of the time,Some of the time
30 – 34,Diploma/Technical,3 – 5 years (Junior professional stage),Often,Often,Often,Often,All of the time,Some of the time,All of the time,All of the time,Often,Rarely,Often,Often,All of the time,All of the time,Some of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),All of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Some of the time,All of the time,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,Most of the time
35 – 39,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,Some of the time,Rarely,All of the time,All of the time,Some of the time,Rarely,None of the time,Rarely,All of the time,All of the time,Often,All of the time,More than half of the time,All of the time,Some of the time,More than half of the time,All of the time
40 – 44,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),All of the time,All of the time,Rarely,Often,None of the time,None of the time,All of the time,All of the time,All of the time,Often,All of the time,Often,All of the time,Often,Most of the time,Some of the time,Less than half of the time,Some of the time,Most of the time
35 – 39,Professional Degrees,16 – 20 years (Senior managers/leaders),All of the time,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,All of the time,Some of the time,Rarely,Rarely,All of the time,Often,All of the time,Often,More than half of the time,Some of the time,More than half of the time,Some of the time,Less than half of the time
25 – 29,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,Some of the time,Often,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Often,Most of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
30 – 34,Professional Degrees,6 – 10 years (Mid-career professionals),All of the time,Often,All of the time,Rarely,Often,Often,Some of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,Often,More than half of the time,Some of the time,More than half of the time,Some of the time,More than half of the time
40 – 44,Diploma/Technical,1 – 2 years (Early career),Rarely,All of the time,Some of the time,All of the time,None of the time,All of the time,Often,Some of the time,None of the time,All of the time,Often,All of the time,Often,Some of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time,Most of the time
35 – 39,Diploma/Technical,1 – 2 years (Early career),Often,Rarely,Often,All of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,Some of the time,Often,Rarely,All of the time,Some of the time,Most of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time
30 – 34,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,All of the time,Often,All of the time,All of the time,All of the time,Some of the time,Rarely,Often,Often,All of the time,Often,Rarely,Most of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),Rarely,Rarely,Often,All of the time,All of the time,Often,Often,None of the time,Often,Rarely,Some of the time,Often,Often,All of the time,Most of the time,Some of the time,Less than half of the time,Some of the time,At no time
40 – 44,Diploma/Technical,Less than 1 year (Entry-level/freshers),All of the time,All of the time,All of the time,All of the time,Some of the time,Often,Rarely,Often,Rarely,Often,All of the time,Often,Rarely,Some of the time,Most of the time,Most of the time,Most of the time,Some of the time,Less than half of the time
30 – 34,Professional Degrees,Less than 1 year (Entry-level/freshers),All of the time,Rarely,Some of the time,All of the time,None of the time,Rarely,Rarely,All of the time,All of the time,Some of the time,Rarely,All of the time,All of the time,All of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time,Some of the time
40 – 44,Other,3 – 5 years (Junior professional stage),Rarely,Some of the time,All of the time,Rarely,Often,All of the time,All of the time,Often,All of the time,Rarely,Some of the time,Some of the time,All of the time,All of the time,Most of the time,More than half of the time,More than half of the time,Some of the time,Less than half of the time
40 – 44,Diploma/Technical,Less than 1 year (Entry-level/freshers),Some of the time,Rarely,Often,All of the time,All of the time,Rarely,All of the time,Often,Often,Rarely,Some of the time,Often,Some of the time,Rarely,Less than half of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
25 – 29,Professional Degrees,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,Often,Some of the time,Often,None of the time,All of the time,Some of the time,Often,All of the time,Some of the time,Often,Often,Rarely,Often,Most of the time,Most of the time,Some of the time,Less than half of the time,All of the time
55 – 59,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,Rarely,Some of the time,All of the time,Some of the time,All of the time,Some of the time,Rarely,Often,Less than half of the time,Some of the time,Some of the time,More than half of the time,Some of the time
20 – 24,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,All of the time,Often,Rarely,Some of the time,Some of the time,Often,None of the time,Some of the time,Often,All of the time,All of the time,None of the time,Often,Some of the time,All of the time,Some of the time,Some of the time,Most of the time
20 – 24,Diploma/Technical,1 – 2 years (Early career),All of the time,All of the time,None of the time,Often,Some of the time,Some of the time,All of the time,Rarely,Often,All of the time,All of the time,Some of the time,None of the time,Often,All of the time,Some of the time,Some of the time,Less than half of the time,Most of the time
20 – 24,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,All of the time,Often,Some of the time,All of the time,Rarely,All of the time,Often,Often,Rarely,Often,All of the time,Some of the time,Some of the time,More than half of the time,Some of the time,Some of the time,Some of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,All of the time,None of the time,Some of the time,Some of the time,Often,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,All of the time,Some of the time,Less than half of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),All of the time,Rarely,Rarely,Rarely,Often,Rarely,All of the time,Often,All of the time,All of the time,Often,All of the time,All of the time,Often,Less than half of the time,Some of the time,Less than half of the time,Most of the time,Less than half of the time
30 – 34,Higher Secondary,1 – 2 years (Early career),All of the time,Rarely,Some of the time,None of the time,Rarely,Some of the time,None of the time,All of the time,Rarely,Rarely,None of the time,Often,All of the time,All of the time,At no time,All of the time,Less than half of the time,Less than half of the time,Most of the time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),Rarely,Rarely,All of the time,None of the time,All of the time,Often,Rarely,Rarely,Often,None of the time,All of the time,All of the time,All of the time,All of the time,More than half of the time,More than half of the time,All of the time,Less than half of the time,Some of the time
30 – 34,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Rarely,All of the time,All of the time,Some of the time,All of the time,Often,All of the time,Often,Often,All of the time,All of the time,Rarely,All of the time,All of the time,Some of the time,Most of the time,Some of the time,Less than half of the time,Less than half of the time
35 – 39,Professional Degrees,3 – 5 years (Junior professional stage),Often,Rarely,Often,All of the time,Rarely,All of the time,All of the time,Rarely,Often,All of the time,Often,None of the time,Often,Some of the time,Most of the time,All of the time,At no time,More than half of the time,More than half of the time
25 – 29,Professional Degrees,3 – 5 years (Junior professional stage),All of the time,All of the time,Often,Rarely,Often,None of the time,All of the time,All of the time,All of the time,Rarely,Often,Rarely,All of the time,Often,Less than half of the time,Most of the time,Less than half of the time,Some of the time,Some of the time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,All of the time,All of the time,All of the time,All of the time,Rarely,Some of the time,None of the time,All of the time,All of the time,All of the time,Rarely,Often,All of the time,Less than half of the time,Less than half of the time,Some of the time,Most of the time,Less than half of the time
45 – 49,Postgraduate Degree,3 – 5 years (Junior professional stage),None of the time,Rarely,All of the time,All of the time,Some of the time,Often,Rarely,All of the time,All of the time,Often,All of the time,All of the time,Some of the time,Often,More than half of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
25 – 29,Bachelor’s Degree,6 – 10 years (Mid-career professionals),Often,All of the time,All of the time,All of the time,All of the time,None of the time,Some of the time,Often,Often,All of the time,All of the time,Often,Some of the time,All of the time,Some of the time,Most of the time,Less than half of the time,Some of the time,Less than half of the time
30 – 34,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Often,All of the time,Rarely,All of the time,Rarely,Often,None of the time,Often,All of the time,All of the time,All of the time,Some of the time,Often,Most of the time,All of the time,Less than half of the time,Most of the time,Less than half of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),Some of the time,All of the time,All of the time,All of the time,Some of the time,Often,All of the time,All of the time,None of the time,Often,Some of the time,Rarely,None of the time,All of the time,Most of the time,Some of the time,Most of the time,Less than half of the time,All of the time
30 – 34,Diploma/Technical,1 – 2 years (Early career),All of the time,Often,Some of the time,None of the time,Often,Some of the time,None of the time,Rarely,Some of the time,All of the time,All of the time,Often,All of the time,Often,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
40 – 44,Diploma/Technical,3 – 5 years (Junior professional stage),Often,Rarely,All of the time,All of the time,Some of the time,All of the time,Rarely,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Rarely,More than half of the time,More than half of the time,Some of the time,Less than half of the time,Less than half of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),Often,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Some of the time,Rarely,Often,Often,Rarely,Rarely,More than half of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Often,All of the time,All of the time,Rarely,More than half of the time,Some of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Some of the time,Often,Some of the time,All of the time,Often,All of the time,Some of the time,All of the time,Often,Some of the time,Often,Some of the time,All of the time,Often,More than half of the time,Less than half of the time,Less than half of the time,Some of the time,All of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),Some of the time,Some of the time,All of the time,Rarely,All of the time,Rarely,Some of the time,Often,All of the time,Often,Some of the time,All of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Most of the time,Less than half of the time
25 – 29,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,All of the time,All of the time,Some of the time,Often,All of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,Rarely,Some of the time,All of the time,Most of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Rarely,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,Often,Rarely,Some of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Most of the time,Some of the time,Some of the time,Less than half of the time
20 – 24,Professional Degrees,1 – 2 years (Early career),Some of the time,All of the time,All of the time,All of the time,None of the time,Some of the time,Some of the time,Often,Some of the time,All of the time,None of the time,Often,All of the time,All of the time,Some of the time,Less than half of the time,Less than half of the time,Less than half of the time,Some of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),None of the time,All of the time,Some of the time,Often,None of the time,Some of the time,Some of the time,All of the time,All of the time,Some of the time,Rarely,All of the time,All of the time,Some of the time,Less than half of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,6 – 10 years (Mid-career professionals),All of the time,Often,Rarely,All of the time,None of the time,None of the time,Often,None of the time,All of the time,Some of the time,All of the time,Often,Often,Often,Most of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
30 – 34,Bachelor’s Degree,3 – 5 years (Junior professional stage),Some of the time,Some of the time,All of the time,Often,Often,None of the time,Often,All of the time,All of the time,Rarely,Some of the time,Rarely,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Some of the time,Less than half of the time
